Date,Close
1/2/2015 16:00:00,0.14
1/5/2015 16:00:00,0.14
1/6/2015 16:00:00,0.14
1/8/2015 16:00:00,0.14
1/9/2015 16:00:00,0.14
1/12/2015 16:00:00,0.14
1/14/2015 16:00:00,0.14
1/15/2015 16:00:00,0.12
1/16/2015 16:00:00,0.1
1/19/2015 16:00:00,0.09
1/20/2015 16:00:00,0.1
1/21/2015 16:00:00,0.1
1/22/2015 16:00:00,0.09
1/23/2015 16:00:00,0.1
1/27/2015 16:00:00,0.1
1/28/2015 16:00:00,0.09
1/29/2015 16:00:00,0.09
1/30/2015 16:00:00,0.1
2/2/2015 16:00:00,0.09
2/3/2015 16:00:00,0.09
2/4/2015 16:00:00,0.09
2/5/2015 16:00:00,0.08
2/6/2015 16:00:00,0.08
2/9/2015 16:00:00,0.08
2/10/2015 16:00:00,0.08
2/11/2015 16:00:00,0.08
2/12/2015 16:00:00,0.09
2/13/2015 16:00:00,0.07
2/16/2015 16:00:00,0.07
2/17/2015 16:00:00,0.08
2/18/2015 16:00:00,0.08
2/19/2015 16:00:00,0.08
2/23/2015 16:00:00,0.07
2/24/2015 16:00:00,0.07
2/25/2015 16:00:00,0.07
2/26/2015 16:00:00,0.08
2/27/2015 16:00:00,0.1
3/2/2015 16:00:00,0.12
3/3/2015 16:00:00,0.09
3/5/2015 16:00:00,0.14
3/6/2015 16:00:00,0.14
3/9/2015 16:00:00,0.14
3/10/2015 16:00:00,0.13
3/11/2015 16:00:00,0.12
3/12/2015 16:00:00,0.12
3/13/2015 16:00:00,0.14
3/16/2015 16:00:00,0.13
3/17/2015 16:00:00,0.13
3/19/2015 16:00:00,0.1
3/20/2015 16:00:00,0.12
3/23/2015 16:00:00,0.12
3/24/2015 16:00:00,0.12
3/25/2015 16:00:00,0.1
3/26/2015 16:00:00,0.1
3/27/2015 16:00:00,0.1
3/30/2015 16:00:00,0.1
3/31/2015 16:00:00,0.1
4/7/2015 16:00:00,0.11
4/8/2015 16:00:00,0.1
4/9/2015 16:00:00,0.1
4/10/2015 16:00:00,0.1
4/13/2015 16:00:00,0.09
4/14/2015 16:00:00,0.1
4/15/2015 16:00:00,0.09
4/16/2015 16:00:00,0.09
4/17/2015 16:00:00,0.09
4/20/2015 16:00:00,0.09
4/21/2015 16:00:00,0.09
4/22/2015 16:00:00,0.09
4/23/2015 16:00:00,0.11
4/24/2015 16:00:00,0.12
4/27/2015 16:00:00,0.11
4/28/2015 16:00:00,0.1
4/29/2015 16:00:00,0.1
4/30/2015 16:00:00,0.1
5/1/2015 16:00:00,0.11
5/4/2015 16:00:00,0.1
5/6/2015 16:00:00,0.22
5/7/2015 16:00:00,0.21
5/8/2015 16:00:00,0.22
5/11/2015 16:00:00,0.21
5/12/2015 16:00:00,0.28
5/13/2015 16:00:00,0.25
5/14/2015 16:00:00,0.25
5/15/2015 16:00:00,0.22
5/18/2015 16:00:00,0.28
5/21/2015 16:00:00,0.26
5/22/2015 16:00:00,0.25
5/25/2015 16:00:00,0.25
5/26/2015 16:00:00,0.25
5/27/2015 16:00:00,0.24
5/28/2015 16:00:00,0.23
5/29/2015 16:00:00,0.26
6/1/2015 16:00:00,0.24
6/2/2015 16:00:00,0.23
6/3/2015 16:00:00,0.23
6/4/2015 16:00:00,0.2
6/5/2015 16:00:00,0.19
6/9/2015 16:00:00,0.18
6/10/2015 16:00:00,0.2
6/11/2015 16:00:00,0.2
6/12/2015 16:00:00,0.2
6/15/2015 16:00:00,0.2
6/16/2015 16:00:00,0.17
6/17/2015 16:00:00,0.16
6/18/2015 16:00:00,0.16
6/19/2015 16:00:00,0.18
6/22/2015 16:00:00,0.18
6/23/2015 16:00:00,0.17
6/24/2015 16:00:00,0.15
6/25/2015 16:00:00,0.16
6/26/2015 16:00:00,0.14
6/29/2015 16:00:00,0.16
6/30/2015 16:00:00,0.15
7/1/2015 16:00:00,0.17
7/2/2015 16:00:00,0.19
7/3/2015 16:00:00,0.18
7/6/2015 16:00:00,0.17
7/7/2015 16:00:00,0.18
7/8/2015 16:00:00,0.15
7/9/2015 16:00:00,0.14
7/10/2015 16:00:00,0.14
7/13/2015 16:00:00,0.16
7/14/2015 16:00:00,0.17
7/15/2015 16:00:00,0.16
7/16/2015 16:00:00,0.15
7/17/2015 16:00:00,0.14
7/20/2015 16:00:00,0.15
7/21/2015 16:00:00,0.15
7/22/2015 16:00:00,0.14
7/23/2015 16:00:00,0.14
7/24/2015 16:00:00,0.16
7/27/2015 16:00:00,0.15
7/28/2015 16:00:00,0.14
7/29/2015 16:00:00,0.14
7/30/2015 16:00:00,0.14
7/31/2015 16:00:00,0.14
8/3/2015 16:00:00,0.14
8/4/2015 16:00:00,0.13
8/5/2015 16:00:00,0.13
8/6/2015 16:00:00,0.16
8/7/2015 16:00:00,0.14
8/10/2015 16:00:00,0.16
8/11/2015 16:00:00,0.16
8/12/2015 16:00:00,0.14
8/13/2015 16:00:00,0.14
8/14/2015 16:00:00,0.15
8/17/2015 16:00:00,0.15
8/18/2015 16:00:00,0.15
8/19/2015 16:00:00,0.14
8/20/2015 16:00:00,0.15
8/21/2015 16:00:00,0.15
8/24/2015 16:00:00,0.13
8/25/2015 16:00:00,0.13
8/26/2015 16:00:00,0.13
8/27/2015 16:00:00,0.15
8/28/2015 16:00:00,0.14
8/31/2015 16:00:00,0.13
9/1/2015 16:00:00,0.14
9/2/2015 16:00:00,0.14
9/3/2015 16:00:00,0.13
9/4/2015 16:00:00,0.12
9/7/2015 16:00:00,0.11
9/8/2015 16:00:00,0.11
9/9/2015 16:00:00,0.12
9/10/2015 16:00:00,0.13
9/11/2015 16:00:00,0.12
9/14/2015 16:00:00,0.13
9/15/2015 16:00:00,0.12
9/16/2015 16:00:00,0.12
9/17/2015 16:00:00,0.12
9/18/2015 16:00:00,0.14
9/21/2015 16:00:00,0.12
9/22/2015 16:00:00,0.16
9/23/2015 16:00:00,0.15
9/24/2015 16:00:00,0.15
9/25/2015 16:00:00,0.16
9/28/2015 16:00:00,0.17
9/29/2015 16:00:00,0.15
9/30/2015 16:00:00,0.14
10/1/2015 16:00:00,0.13
10/2/2015 16:00:00,0.13
10/5/2015 16:00:00,0.13
10/6/2015 16:00:00,0.14
10/7/2015 16:00:00,0.13
10/8/2015 16:00:00,0.14
10/9/2015 16:00:00,0.15
10/12/2015 16:00:00,0.14
10/13/2015 16:00:00,0.14
10/14/2015 16:00:00,0.14
10/15/2015 16:00:00,0.14
10/16/2015 16:00:00,0.14
10/19/2015 16:00:00,0.14
10/20/2015 16:00:00,0.14
10/21/2015 16:00:00,0.15
10/22/2015 16:00:00,0.14
10/23/2015 16:00:00,0.16
10/26/2015 16:00:00,0.14
10/27/2015 16:00:00,0.13
10/28/2015 16:00:00,0.13
10/29/2015 16:00:00,0.13
10/30/2015 16:00:00,0.13
11/2/2015 16:00:00,0.13
11/3/2015 16:00:00,0.14
11/4/2015 16:00:00,0.13
11/5/2015 16:00:00,0.13
11/6/2015 16:00:00,0.13
11/9/2015 16:00:00,0.13
11/10/2015 16:00:00,0.13
11/11/2015 16:00:00,0.13
11/12/2015 16:00:00,0.13
11/13/2015 16:00:00,0.12
11/16/2015 16:00:00,0.13
11/17/2015 16:00:00,0.13
11/18/2015 16:00:00,0.12
