Date,Close
1/2/2015 16:00:00,2.58
1/5/2015 16:00:00,2.66
1/6/2015 16:00:00,2.78
1/7/2015 16:00:00,2.73
1/8/2015 16:00:00,2.71
1/9/2015 16:00:00,2.66
1/12/2015 16:00:00,2.59
1/13/2015 16:00:00,2.61
1/14/2015 16:00:00,2.6
1/15/2015 16:00:00,2.51
1/16/2015 16:00:00,2.46
1/19/2015 16:00:00,2.4
1/20/2015 16:00:00,2.42
1/21/2015 16:00:00,2.49
1/22/2015 16:00:00,2.48
1/23/2015 16:00:00,2.49
1/27/2015 16:00:00,2.53
1/28/2015 16:00:00,2.64
1/29/2015 16:00:00,2.74
1/30/2015 16:00:00,2.78
2/2/2015 16:00:00,2.67
2/3/2015 16:00:00,2.57
2/4/2015 16:00:00,2.53
2/5/2015 16:00:00,2.66
2/6/2015 16:00:00,2.65
2/9/2015 16:00:00,2.65
2/10/2015 16:00:00,2.76
2/11/2015 16:00:00,2.78
2/12/2015 16:00:00,2.73
2/13/2015 16:00:00,2.84
2/16/2015 16:00:00,2.81
2/17/2015 16:00:00,2.8
2/18/2015 16:00:00,2.86
2/19/2015 16:00:00,2.88
2/20/2015 16:00:00,2.89
2/23/2015 16:00:00,2.94
2/24/2015 16:00:00,2.9
2/25/2015 16:00:00,2.99
2/26/2015 16:00:00,3.04
2/27/2015 16:00:00,3.08
3/2/2015 16:00:00,3.08
3/3/2015 16:00:00,3.05
3/4/2015 16:00:00,3.06
3/5/2015 16:00:00,3.08
3/6/2015 16:00:00,3.06
3/9/2015 16:00:00,2.98
3/10/2015 16:00:00,3.09
3/11/2015 16:00:00,3.13
3/12/2015 16:00:00,3.22
3/13/2015 16:00:00,3.26
3/16/2015 16:00:00,3.27
3/17/2015 16:00:00,3.22
3/18/2015 16:00:00,3.25
3/19/2015 16:00:00,3.22
3/20/2015 16:00:00,3.28
3/23/2015 16:00:00,3.24
3/24/2015 16:00:00,3.18
3/25/2015 16:00:00,3.22
3/26/2015 16:00:00,3.1
3/27/2015 16:00:00,3.14
3/30/2015 16:00:00,3.21
3/31/2015 16:00:00,3.32
4/1/2015 16:00:00,3.4
4/2/2015 16:00:00,3.47
4/7/2015 16:00:00,3.45
4/8/2015 16:00:00,3.41
4/9/2015 16:00:00,3.53
4/10/2015 16:00:00,3.56
4/13/2015 16:00:00,3.55
4/14/2015 16:00:00,3.66
4/15/2015 16:00:00,3.62
4/16/2015 16:00:00,3.54
4/17/2015 16:00:00,3.53
4/20/2015 16:00:00,3.47
4/21/2015 16:00:00,3.53
4/22/2015 16:00:00,3.58
4/23/2015 16:00:00,3.56
4/24/2015 16:00:00,3.61
4/27/2015 16:00:00,3.6
4/28/2015 16:00:00,3.51
4/29/2015 16:00:00,3.45
4/30/2015 16:00:00,3.61
5/1/2015 16:00:00,3.62
5/4/2015 16:00:00,3.61
5/6/2015 16:00:00,3.51
5/7/2015 16:00:00,3.43
5/8/2015 16:00:00,3.62
5/11/2015 16:00:00,3.54
5/12/2015 16:00:00,3.79
5/13/2015 16:00:00,3.81
5/14/2015 16:00:00,3.92
5/15/2015 16:00:00,3.83
5/18/2015 16:00:00,3.79
5/19/2015 16:00:00,3.76
5/20/2015 16:00:00,3.83
5/21/2015 16:00:00,3.78
5/22/2015 16:00:00,3.67
5/25/2015 16:00:00,3.72
5/26/2015 16:00:00,3.76
5/27/2015 16:00:00,3.73
5/28/2015 16:00:00,3.67
5/29/2015 16:00:00,3.75
6/1/2015 16:00:00,3.75
6/2/2015 16:00:00,3.62
6/3/2015 16:00:00,3.51
6/4/2015 16:00:00,3.41
6/5/2015 16:00:00,3.47
6/9/2015 16:00:00,3.45
6/10/2015 16:00:00,3.44
6/11/2015 16:00:00,3.43
6/12/2015 16:00:00,3.43
6/15/2015 16:00:00,3.44
6/16/2015 16:00:00,3.43
6/17/2015 16:00:00,3.44
6/18/2015 16:00:00,3.34
6/19/2015 16:00:00,3.39
6/22/2015 16:00:00,3.4
6/23/2015 16:00:00,3.42
6/24/2015 16:00:00,3.46
6/25/2015 16:00:00,3.45
6/26/2015 16:00:00,3.32
6/29/2015 16:00:00,3.22
6/30/2015 16:00:00,3.37
7/1/2015 16:00:00,3.47
7/2/2015 16:00:00,3.48
7/3/2015 16:00:00,3.41
7/6/2015 16:00:00,3.39
7/7/2015 16:00:00,3.65
7/8/2015 16:00:00,3.57
7/9/2015 16:00:00,3.62
7/10/2015 16:00:00,3.55
7/13/2015 16:00:00,3.67
7/14/2015 16:00:00,3.77
7/15/2015 16:00:00,3.76
7/16/2015 16:00:00,3.81
7/17/2015 16:00:00,3.87
7/20/2015 16:00:00,3.88
7/21/2015 16:00:00,3.89
7/22/2015 16:00:00,3.89
7/23/2015 16:00:00,3.99
7/24/2015 16:00:00,3.93
7/27/2015 16:00:00,4.01
7/28/2015 16:00:00,3.99
7/29/2015 16:00:00,4.05
7/30/2015 16:00:00,3.98
7/31/2015 16:00:00,3.99
8/3/2015 16:00:00,3.95
8/4/2015 16:00:00,4.1
8/5/2015 16:00:00,4.08
8/6/2015 16:00:00,4.09
8/7/2015 16:00:00,4.01
8/10/2015 16:00:00,4.12
8/11/2015 16:00:00,4
8/12/2015 16:00:00,3.99
8/13/2015 16:00:00,3.9
8/14/2015 16:00:00,3.96
8/17/2015 16:00:00,4
8/18/2015 16:00:00,4.04
8/19/2015 16:00:00,4
8/20/2015 16:00:00,3.76
8/21/2015 16:00:00,3.67
8/24/2015 16:00:00,3.51
8/25/2015 16:00:00,3.72
8/26/2015 16:00:00,3.82
8/27/2015 16:00:00,3.76
8/28/2015 16:00:00,3.61
8/31/2015 16:00:00,3.58
9/1/2015 16:00:00,3.7
9/2/2015 16:00:00,3.73
9/3/2015 16:00:00,3.65
9/4/2015 16:00:00,3.7
9/7/2015 16:00:00,3.76
9/8/2015 16:00:00,3.76
9/9/2015 16:00:00,3.77
9/10/2015 16:00:00,3.77
9/11/2015 16:00:00,3.77
9/14/2015 16:00:00,3.83
9/15/2015 16:00:00,3.8
9/16/2015 16:00:00,3.89
9/17/2015 16:00:00,3.91
9/18/2015 16:00:00,3.87
9/21/2015 16:00:00,3.9
9/22/2015 16:00:00,3.92
9/23/2015 16:00:00,3.93
9/24/2015 16:00:00,4.03
9/25/2015 16:00:00,3.93
9/28/2015 16:00:00,4.04
9/29/2015 16:00:00,3.95
9/30/2015 16:00:00,3.96
10/1/2015 16:00:00,4.07
10/2/2015 16:00:00,4.07
10/5/2015 16:00:00,4.14
10/6/2015 16:00:00,4.11
10/7/2015 16:00:00,3.96
10/8/2015 16:00:00,3.83
10/9/2015 16:00:00,3.87
10/12/2015 16:00:00,3.81
10/13/2015 16:00:00,3.97
10/14/2015 16:00:00,4.05
10/15/2015 16:00:00,4.12
10/16/2015 16:00:00,4.16
10/19/2015 16:00:00,4.13
10/20/2015 16:00:00,4.2
10/21/2015 16:00:00,4.15
10/22/2015 16:00:00,4.11
10/23/2015 16:00:00,4.11
10/26/2015 16:00:00,4.15
10/27/2015 16:00:00,3.91
10/28/2015 16:00:00,4.03
10/29/2015 16:00:00,4
10/30/2015 16:00:00,3.95
11/2/2015 16:00:00,3.84
11/3/2015 16:00:00,3.82
11/4/2015 16:00:00,3.83
11/5/2015 16:00:00,3.75
11/6/2015 16:00:00,3.71
11/9/2015 16:00:00,3.71
11/10/2015 16:00:00,3.66
11/11/2015 16:00:00,3.65
11/12/2015 16:00:00,3.67
11/13/2015 16:00:00,3.61
11/16/2015 16:00:00,3.55
11/17/2015 16:00:00,3.76
11/18/2015 16:00:00,3.86
11/19/2015 16:00:00,3.85
11/20/2015 16:00:00,3.8
11/23/2015 16:00:00,3.79
11/24/2015 16:00:00,3.69
11/25/2015 16:00:00,3.63
11/26/2015 16:00:00,3.63
11/27/2015 16:00:00,3.78
11/30/2015 16:00:00,3.64
12/1/2015 16:00:00,3.69
12/2/2015 16:00:00,3.72
12/3/2015 16:00:00,3.74
12/4/2015 16:00:00,3.67
12/7/2015 16:00:00,3.68
12/8/2015 16:00:00,3.86
12/9/2015 16:00:00,3.86
12/10/2015 16:00:00,3.86
12/11/2015 16:00:00,3.83
12/14/2015 16:00:00,3.78
12/15/2015 16:00:00,3.69
12/16/2015 16:00:00,3.8
12/17/2015 16:00:00,3.9
12/18/2015 16:00:00,3.91
12/21/2015 16:00:00,3.87
12/22/2015 16:00:00,3.9
12/23/2015 16:00:00,4.02
12/24/2015 16:00:00,4
12/29/2015 16:00:00,4.08
12/30/2015 16:00:00,4.14
12/31/2015 16:00:00,4.09
1/4/2016 16:00:00,4.09
1/5/2016 16:00:00,4.07
1/6/2016 16:00:00,4.03
1/7/2016 16:00:00,4.08
1/8/2016 16:00:00,4.06
1/11/2016 16:00:00,3.98
1/12/2016 16:00:00,4.07
1/13/2016 16:00:00,4.11
1/14/2016 16:00:00,4.09
1/15/2016 16:00:00,4.04
1/18/2016 16:00:00,4.01
1/19/2016 16:00:00,4.04
1/20/2016 16:00:00,4
1/21/2016 16:00:00,3.93
1/22/2016 16:00:00,3.97
1/25/2016 16:00:00,3.86
1/27/2016 16:00:00,3.84
1/28/2016 16:00:00,3.82
1/29/2016 16:00:00,3.88
2/1/2016 16:00:00,3.97
2/2/2016 16:00:00,3.98
2/3/2016 16:00:00,3.9
2/4/2016 16:00:00,3.86
2/5/2016 16:00:00,3.83
2/8/2016 16:00:00,3.79
2/9/2016 16:00:00,3.76
2/10/2016 16:00:00,3.75
2/11/2016 16:00:00,3.83
